Regions,Year,NDVI,Rainfall_mm,Average_Temperature_C,Surface_Soil_Moisture,Forest_Cover,Predicted_NDVI,NDVI_Change,Risk_Score
Aravalli,2022,0.2016558043,1150.090203,32.78113192,6.430293821,0.2337662338,0.19774688808899998,0.007047182299999982,47.85329942266
Aravalli,2023,0.2109130162,926.1822933,30.76823876,,,0.21899523741199992,0.009257211900000006,46.489997279280004
Aravalli,2024,0.1948727466,1185.503165,31.00355185,,,0.22605242678699988,-0.01604026959999999,47.07846517678001
Aravalli,2025,0.215836732,1216.511133,28.56630749,,,0.22604495319999998,0.020963985399999996,45.598743392
Central Forest,2022,0.2417011819,1676.012171,30.56697627,8.228273275,39.11998587,0.2416716451289998,0.0024229383000000104,45.402783760260014
Central Forest,2023,0.2532932524,1337.359585,30.39510548,,,0.237142237704,0.011592070499999996,45.30778291776
Central Forest,2024,0.244808813,1528.06155,29.7437763,,,0.23461995358200002,-0.008484439400000016,46.26218036108
Central Forest,2025,0.2510660724,1699.202131,27.71864251,,,0.2663015775929998,0.00625725940000002,43.77161496842001
Eastern Ghats,2022,0.2197866889,1149.35044,30.58396772,6.899557746,7.327455958,0.20529993591099988,-0.0046784367000000104,47.86914131334
Eastern Ghats,2023,0.223695563,804.9116781,31.46813665,,,0.21804340716599996,0.003908874099999987,46.76104060604
Eastern Ghats,2024,0.2128819394,1047.043195,30.89801327,,,0.2198340696619999,-0.010813623599999989,47.24250076428
Eastern Ghats,2025,0.2278079451,1094.538827,28.53799713,,,0.224658128046,0.014926005699999995,45.92347208923999
North Eastern Rainforest,2022,0.3096127047,1889.007869,20.05952631,17.22631121,65.26977263,0.2901601115979994,0.009865519600000039,42.19577252012003
North Eastern Rainforest,2023,0.298398878,1836.018232,20.62915576,,,0.29230628809299963,-0.01121382670000004,42.910175782420026
North Eastern Rainforest,2024,0.3031057999,2155.917097,19.82684043,,,0.2911363411159996,0.004706921899999994,42.343542657040025
North Eastern Rainforest,2025,0.3074083283,2175.516444,19.30825048,,,0.2915780018759996,0.004302528400000005,42.33321875144002
Odisha Forest,2022,0.2540876945,1413.584252,29.49884266,9.232972208,26.66391863,0.22814755345900012,0.030855750000000015,45.07691679245999
Odisha Forest,2023,0.2391244738,1304.815583,29.99010114,,,0.23503007984699997,-0.01496322070000003,46.49672403718
Odisha Forest,2024,0.2470576885,1292.368118,28.89996639,,,0.23280441397100002,0.007933214700000024,45.71440657373999
Odisha Forest,2025,0.2481645731,1725.77396,27.04050646,,,0.2818613168929997,0.0011068845999999966,43.04404560242002
Western Ghats,2022,0.2919889819,2601.836117,27.81169029,10.17893547,39.926791,0.2832539405219999,0.011646517899999986,42.53890285268
Western Ghats,2023,0.2966054859,1942.237261,28.3315332,,,0.29072799949399974,0.004616504000000021,42.37165987036001
Western Ghats,2024,0.2856936035,2762.83048,27.70418117,,,0.29389383222499993,-0.010911882400000017,42.802845362499994
Western Ghats,2025,0.2926974567,2388.196142,26.09551605,,,0.2948665470139999,0.007003853200000021,42.02785305116
Western Himalayas,2022,0.2178880106,1287.723561,19.98077705,14.35970771,43.42671237,0.21175657681700014,0.009575984399999987,46.91156601498
Western Himalayas,2023,0.2173776217,1578.206778,18.95219639,,,0.22708906083500013,-0.0005103888999999917,46.39507190589999
Western Himalayas,2024,0.2290109246,1293.684335,19.3983741,,,0.22566042068400005,0.011633302900000003,45.995042642959994
Western Himalayas,2025,0.2156470701,1669.313576,17.98719221,,,0.25662998255099984,-0.013363854499999994,45.136755226940004
